Full Name	Email Address	Major	Educational Stage	If other please add here	Expected Graduation/Completion Date	How DS helps goals	Research categories of interest	Other Research Category	Primary Research Area of interest	Other primary research area	2nd research area interest	Other secondary research area	3rd research area of interest	Other third choice research area	Research interests.	Prior research skills	Other research skills/experience	Prior Research description	NIH guidelines state that trainees supported throu	Gender identity	Other gender identity	Sexual orientation	Other sexual orientation	Race/Ethnicity:	Other Race/Ethnicity	Are you from a disadvantaged background?	Which of the following describes your disability	Other disability	Notes	Do you consider yourself transgender?	Other transgender answer	First generation born/raised in US	First generation to attend college	Eligible for NIH Diversity Supplement	Citizenship	Please attach the following documents	PREP Interest
Diego Coleman	diego.coleman@university.edu	Biology-Bioinformatics Concentration	Undergraduate student		24-May	"An NIH diversity supplement would facilitate my research on the role of epigenetics in cancer metastasis, providing insights into the spread of cancer and potential therapeutic targets."	Basic Science Research		Computational Biology/Medical Informatics		Human Genetics		Cancer Biology & Cell Signaling		Developing diagnostic tools for cancer using liquid biopsies is a key focus of my research.	"Other
Qualitative analytical skills/experience
Quantitative analytical skills/experience"	Programming	"Explored the molecular mechanisms of drug-induced cardiotoxicity, investigating the effects of drugs on cardiac cells and signaling pathways."		Female/Woman				Native Hawaiian/Other Pacific Islander		Yes	Does not apply			No		Yes	Prefer not to answer	Yes	Yes		Yes
Valeria Jenkins	valeria.jenkins@university.edu	"Molecular & Cell Biology, Immunology & Molecular Medicine"	Undergraduate student		24-May	"By receiving an NIH diversity supplement, I could study the impact of stress on cardiovascular health, informing strategies for stress management and cardiovascular disease prevention."	"Basic Science Research
Clinical/Translational Research"		Immunology		Cancer Biology & Cell Signaling		Virology & Microbial Pathogenesis		My research aims to study the impact of the microbiome on immune system development.	"Experience working with human subjects or animals
Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Studied the impact of stress on immune function and inflammation, studying the effects of stress hormones on immune cells."		Female/Woman		Heterosexual		"Filipino, Hmong, or Vietnamese"		Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Samuel Perry	samuel.perry@university.edu	Chemistry	Undergraduate student		24-May	"With the support of an NIH diversity supplement, I would be able to investigate the molecular mechanisms of drug transport and efflux, improving drug delivery and efficacy."	"Basic Science Research
Clinical/Translational Research"		Chemistry and chemical biology		Immunology		Virology & Microbial Pathogenesis		Investigating the impact of diet on gut health and inflammatory bowel diseases is a primary focus of my research.	Quantitative analytical skills/experience		"Investigated the genetic basis of autoimmune skin diseases, identifying disease-associated genetic variants."		Female/Woman				"Filipino, Hmong, or Vietnamese"		Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Isabella Powell	isabella.powell@university.edu	Biology	Undergraduate student		5/25/24	"An NIH diversity supplement would enable me to develop new therapies for neurodegenerative diseases using tissue regeneration, potentially restoring function in affected individuals."	"Basic Science Research
Clinical/Translational Research
Health Disparities Research"		Cancer Biology & Cell Signaling		Neurobiology		Developmental & Stem Cell Biology		Understanding the molecular mechanisms of drug-induced cardiotoxicity is a key interest of my research.	"Experience working with human subjects or animals
Quantitative analytical skills/experience"		"Developed diagnostic tools for cancer using liquid biopsies, utilizing circulating tumor DNA and RNA for early cancer detection."		Female/Woman		Heterosexual		"Filipino, Hmong, or Vietnamese"		Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Lucia Long	lucia.long@university.edu	Biochemistry and Cell&Molecular Biology	Post-Baccalaureate student		24-May	"By receiving an NIH diversity supplement, I could contribute to our understanding of the role of the immune system in metabolic disorders, advancing precision medicine approaches."	"Basic Science Research
Clinical/Translational Research
Health Disparities Research
Outcomes/Epidemiology Research"		Neurobiology		Chemistry and chemical biology		Cancer Biology & Cell Signaling		Investigating the genetic basis of rare neurological disorders is a primary focus of my research.	"Experience working with human subjects or animals
Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Studied the impact of the microbiome on immune system development, investigating the effects of microbial colonization on immune cell maturation."		Male/Man		Heterosexual		Hispanic/Latinx		No	Cognitive			No		No	No	Yes	Yes		Yes
Juan Patterson	juan.patterson@university.edu	Psychology	Post-Baccalaureate student		23-Aug	"With the support of an NIH diversity supplement, I would be able to study the impact of environmental pollutants on cardiovascular health, informing public health interventions."	"Clinical/Translational Research
Health Disparities Research
Outcomes/Epidemiology Research"		Epidemiology & Biostatistics		Virology & Microbial Pathogenesis		Neurobiology		Exploring the impact of environmental pollutants on respiratory health is a key aspect of my research.	"Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Investigated the impact of diet on gut health and inflammatory bowel diseases, examining the effects of different diets on gut microbiota and inflammation."				Prefer not to answer		"Asian (Other than Filipino, Hmong or Vietnamese)"		Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Camila Hughes	camila.hughes@university.edu	MPH Epidemiology	Master's degree holder		23-Sep	"An NIH diversity supplement would facilitate my research on the genetic basis of rare bone disorders, improving diagnostics and treatment options for affected individuals."	"Community-Based Participatory Research
Health Disparities Research
Outcomes/Epidemiology Research"		Epidemiology & Biostatistics		Vascular & Cardiac Biology		Computational Biology/Medical Informatics		"Investigating the genetic basis of rare blood disorders is a primary interest of my research, with the goal of improving diagnostics and personalized treatments."	"Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Explored the molecular mechanisms of drug-induced cardiotoxicity, investigating the effects of drugs on cardiac cells and signaling pathways."		Female/Woman		Heterosexual		White		No	Does not apply			No		Yes	No	Yes	Yes		Yes
Mateo Flores	mateo.flores@university.edu	Biomedical Sciences	Post-Baccalaureate student		23-May	"By receiving an NIH diversity supplement, I could develop new diagnostic tools for genetic diseases using next-generation sequencing, enhancing genetic testing capabilities."	"Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research"		Vascular & Cardiac Biology		Epidemiology & Biostatistics		Human Genetics		My research interests focus on understanding the impact of environmental pollutants on neurodevelopmental disorders.	"Experience working with human subjects or animals
Qualitative analytical skills/experience"		"Studied the impact of stress on immune function and inflammation, studying the effects of stress hormones on immune cells."		Male/Man		Prefer not to answer		"Filipino, Hmong, or Vietnamese"	Afghan	Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Isabella Washington	isabella.washington@university.edu	Molecular and Cell Biology	Undergraduate student		24-May	"With the support of an NIH diversity supplement, I would be able to investigate the role of the microbiome in inflammatory diseases, informing therapeutic interventions."	"Basic Science Research
Clinical/Translational Research"		Immunology		Human Genetics		Tissue / Organ Biology & Endocrinology		Investigating the genetic basis of rare pediatric cancers is a key aspect of my research.	"Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Investigated the genetic basis of autoimmune skin diseases, identifying disease-associated genetic variants."		Female/Woman		Asexual		Other		No	Does not apply			No		No	No	Yes	Yes		Yes
Santiago Butler	santiago.butler@university.edu	Molecular & Cell Biology	Undergraduate student		24-May	"An NIH diversity supplement would enable me to study the impact of diet on brain health and neurodegeneration, contributing to lifestyle recommendations for brain preservation."	"Basic Science Research
Clinical/Translational Research"		Developmental & Stem Cell Biology		Cancer Biology & Cell Signaling		Reproductive Science		I am interested in developing new diagnostic tools for infectious diseases using advanced bioinformatics.	"Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Developed diagnostic tools for cancer using liquid biopsies, utilizing circulating tumor DNA and RNA for early cancer detection."		Female/Woman		Heterosexual		African American/Black		Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Valentina Simmons	valentina.simmons@university.edu	Chemistry	Undergraduate student		23-May	"By receiving an NIH diversity supplement, I could investigate the molecular mechanisms of drug-induced kidney injury, improving drug safety and patient care."	"Basic Science Research
Clinical/Translational Research"		Bioengineering		Developmental & Stem Cell Biology		Human Genetics		My research aims to study the role of epigenetics in the development of autoimmune diseases.	"Experience working with human subjects or animals
Qualitative analytical skills/experience"		"Studied the impact of the microbiome on immune system development, investigating the effects of microbial colonization on immune cell maturation."		Female/Woman		Heterosexual		Hispanic/Latinx		Yes	Does not apply			No		No	No	Yes	Yes		Yes
Leonardo Foster	leonardo.foster@university.edu	Psychology	Post-Baccalaureate student		12-Jun	"With the support of an NIH diversity supplement, I would be able to study the impact of stress on immune function and inflammation, advancing our understanding of stress-related diseases."	"Basic Science Research
Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research
Outcomes/Epidemiology Research"		Epidemiology & Biostatistics		Reproductive Science		Tissue / Organ Biology & Endocrinology		I am passionate about investigating the impact of social determinants of health on health disparities.	"Experience working with human subjects or animals
Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Investigated the impact of diet on gut health and inflammatory bowel diseases, examining the effects of different diets on gut microbiota and inflammation."		Female/Woman		Heterosexual		Hispanic/Latinx		Yes				No				Yes	Yes		Yes
Gabriela Gonzales	gabriela.gonzales@university.edu	Cell and Molecular Biology	Undergraduate student		24-May	"An NIH diversity supplement would facilitate my research on the genetic basis of autoimmune skin diseases, leading to better understanding and treatment options."	"Basic Science Research
Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research"		Developmental & Stem Cell Biology		Cancer Biology & Cell Signaling		Reproductive Science		"My research interests focus on understanding the genetic basis of rare eye diseases, with the aim of improving diagnostics and treatment options for affected individuals."	"Experience working with human subjects or animals
Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Explored the molecular mechanisms of drug-induced cardiotoxicity, investigating the effects of drugs on cardiac cells and signaling pathways."		Female/Woman				Hispanic/Latinx		Yes	"Cognitive
Other"	Physical		No		Yes	Yes	Yes	Ca		Yes
Xavier Bryant	xavier.bryant@university.edu	"Molecular and Cellular Biology - concentration in Biochemistry, Biophysics, and Structural Biology"	Undergraduate student		24-May	"By receiving an NIH diversity supplement, I could develop new diagnostic tools for cancer using liquid biopsies, improving cancer detection and patient outcomes."	"Basic Science Research
Health Disparities Research"		Chemistry and chemical biology		Cancer Biology & Cell Signaling		Developmental & Stem Cell Biology		Investigating the role of the immune system in neuroinflammatory disorders is a key aspect of my research.	"Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Studied the impact of stress on immune function and inflammation, studying the effects of stress hormones on immune cells."		Male/Man		Heterosexual		Hispanic/Latinx		Yes							Yes	Yes	Yes		Yes
Ana Alexander	ana.alexander@university.edu	Molecular Environmental Biology	Undergraduate student		24-May	"With the support of an NIH diversity supplement, I would be able to study the impact of diet on gut health and inflammatory bowel diseases, informing dietary interventions."	"Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research"		Reproductive Science		Immunology		Tissue / Organ Biology & Endocrinology		"I am interested in studying the impact of environmental factors on neurodevelopment, particularly the effects of early-life exposures."	"Experience working with human subjects or animals
Quantitative analytical skills/experience"		"Investigated the genetic basis of autoimmune skin diseases, identifying disease-associated genetic variants."		Male/Man		Heterosexual		"Asian (Other than Filipino, Hmong or Vietnamese)
White"		Yes						Yes		Yes	Yes		Yes
Andres Russell	andres.russell@university.edu	Molecular and Cell Biology (Neurobiology emphasis)	Undergraduate student		24-May	"An NIH diversity supplement would enable me to investigate the molecular mechanisms of drug-induced cardiotoxicity, improving drug safety and patient care."	"Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research
Outcomes/Epidemiology Research"		Neurobiology		Reproductive Science		Cancer Biology & Cell Signaling		"My research aims to investigate the genetic basis of rare kidney diseases, with the goal of improving diagnostics and personalized treatments."	"Experience working with human subjects or animals
Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Developed diagnostic tools for cancer using liquid biopsies, utilizing circulating tumor DNA and RNA for early cancer detection."				Bisexual		"Filipino, Hmong, or Vietnamese
Hispanic/Latinx"		Yes	Does not apply			No		Yes	No	Yes	Yes		No
Vanessa Griffin	vanessa.griffin@university.edu	Integrative Human Biology	Undergraduate student		24-May	"By receiving an NIH diversity supplement, I could contribute to our understanding of the genetic basis of rare neurological disorders, leading to improved diagnostics and treatment options."	"Basic Science Research
Clinical/Translational Research
Health Disparities Research"		Neurobiology		Reproductive Science		Chemistry and chemical biology		"Developing strategies for targeted drug delivery to the central nervous system is a primary focus of my research, especially for enhancing treatments for neurological disorders."	Quantitative analytical skills/experience		"Studied the impact of the microbiome on immune system development, investigating the effects of microbial colonization on immune cell maturation."		Female/Woman		Heterosexual		African American/Black		No				No		Yes	Yes	Yes	Yes		Yes
Daniel Diaz	daniel.diaz@university.edu	Biology	Post-Baccalaureate student		9-Jun	"With the support of an NIH diversity supplement, I would be able to study the role of chromatin structure in cancer development, advancing our understanding of tumor biology."	"Basic Science Research
Clinical/Translational Research"		Neurobiology		Human Genetics		Biophysics		"I am dedicated to studying the role of epigenetic modifications in cancer immunotherapy, with the aim of improving patient responses to treatment."	"Experience working with human subjects or animals
Quantitative analytical skills/experience"		"Investigated the impact of diet on gut health and inflammatory bowel diseases, examining the effects of different diets on gut microbiota and inflammation."		Female/Woman		Queer		Other		Yes						Yes	Yes	Yes	Yes		Yes
Mariana Hayes	mariana.hayes@university.edu	Molecular and Cellular Biology	Undergraduate student		24-May	"An NIH diversity supplement would facilitate my research on the impact of exercise on mental health and well-being, promoting holistic approaches to mental wellness."	"Basic Science Research
Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research
Outcomes/Epidemiology Research"		Cancer Biology & Cell Signaling		Immunology		Tissue / Organ Biology & Endocrinology		"Investigating the impact of environmental toxins on reproductive outcomes is a key focus of my research, particularly in relation to reproductive health risks."	"Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Explored the molecular mechanisms of drug-induced cardiotoxicity, investigating the effects of drugs on cardiac cells and signaling pathways."		Female/Woman		Gay				No	Does not apply			No		No	No	Yes	Yes		Yes
Emilio Myers	emilio.myers@university.edu	Molecular and Cellular Biology	Undergraduate student		24-May	"By receiving an NIH diversity supplement, I could develop new therapies for genetic blood disorders using gene therapy, offering potential cures for these conditions."	"Basic Science Research
Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research
Outcomes/Epidemiology Research"		Immunology		Bioengineering		Neurobiology		"My research aims to contribute to our understanding of the genetic basis of rare lung cancers, with a focus on improving diagnostics and targeted therapies."	"Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Studied the impact of stress on immune function and inflammation, studying the effects of stress hormones on immune cells."		Female/Woman		Heterosexual		"Asian (Other than Filipino, Hmong or Vietnamese)
White"		Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Ximena Ford	ximena.ford@university.edu	"Cognitive Science; Molecular and Cellular Biology, Neurobiology emphasis"	Undergraduate student		24-May	"With the support of an NIH diversity supplement, I would be able to investigate the role of epigenetics in cancer metastasis, providing insights into the spread of cancer and potential therapeutic targets."	"Basic Science Research
Clinical/Translational Research"		Neurobiology		Developmental & Stem Cell Biology		Human Genetics		"Studying the molecular mechanisms of drug-induced liver toxicity is a primary focus of my research, with the goal of improving drug safety and patient care."	"Experience working with human subjects or animals
Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Investigated the genetic basis of autoimmune skin diseases, identifying disease-associated genetic variants."		Male/Man	woman-aligned nonbinary	Prefer not to answer		African American/Black		No	Cognitive					No	No	Yes	Yes		Yes
Carlos Hamilton	carlos.hamilton@university.edu	Biology with a concentration in Cell and Molecular Biology	Post-Baccalaureate student		19-Aug	"An NIH diversity supplement would enable me to study the impact of stress on cardiovascular health, informing strategies for stress management and cardiovascular disease prevention."	"Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research
Outcomes/Epidemiology Research"		Epidemiology & Biostatistics		Reproductive Science		Computational Biology/Medical Informatics		"I am interested in studying the impact of prenatal and early-life exposures on neurodevelopmental outcomes, with the aim of informing strategies for prevention and intervention."	"Experience working with human subjects or animals
Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Developed diagnostic tools for cancer using liquid biopsies, utilizing circulating tumor DNA and RNA for early cancer detection."		Male/Man		Gay		African American/Black		Yes						Yes	Yes	Yes	Yes		Yes
Luna Graham	luna.graham@university.edu	Biology; Chemistry with Biochem Option	Undergraduate student		24-May	"By receiving an NIH diversity supplement, I could study the impact of environmental pollutants on respiratory health, contributing to efforts to reduce environmental risks."	"Basic Science Research
Clinical/Translational Research"		Chemistry and chemical biology		Computational Biology/Medical Informatics		Neurobiology		"Developing new therapeutic approaches for rare genetic skin disorders is a primary interest of my research, with the goal of offering hope to individuals affected by these conditions."	"Experience working with human subjects or animals
Quantitative analytical skills/experience"		"In previous projects, I have investigated the impact of environmental toxins on reproductive outcomes, studying the effects of chemical exposures on fertility and reproductive health."		Male/Man		Heterosexual		Hispanic/Latinx		Yes				No		Yes	Yes	Yes	Yes		Yes
Alejandro Sullivan	alejandro.sullivan@university.edu	Biochemistry	Post-Baccalaureate student		19-Jun	"With the support of an NIH diversity supplement, I would be able to develop new diagnostic tools for genetic diseases using next-generation sequencing, enhancing genetic testing capabilities."	"Basic Science Research
Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research
Outcomes/Epidemiology Research"		Cancer Biology & Cell Signaling		Immunology		Tissue / Organ Biology & Endocrinology		"Investigating the role of the immune system in neuroimmune interactions is a key focus of my research, with the aim of enhancing our understanding of neurological diseases."	"Experience working with human subjects or animals
Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"My previous research focused on studying the genetic basis of rare blood disorders, identifying disease-associated genetic variants and studying their functional consequences."		Female/Woman		Pansexual		"Filipino, Hmong, or Vietnamese"		Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Valeria Wallace	valeria.wallace@university.edu	Public Health	Post-Baccalaureate student		22-Jun	"An NIH diversity supplement would facilitate my research on the role of the microbiome in inflammatory diseases, informing therapeutic interventions."	"Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research"		Other	Lung Disease/Tobacco Cessation	Other	Health Disparities Interventions	Epidemiology & Biostatistics		"My research focuses on studying the impact of environmental factors on reproductive aging, particularly in relation to age-related fertility decline."	"Experience working with human subjects or animals
Quantitative analytical skills/experience"		"I have previously worked on developing diagnostic tools for cancer using liquid biopsies, utilizing circulating tumor DNA and RNA for early cancer detection."		Female/Woman		Heterosexual		"Asian (Other than Filipino, Hmong or Vietnamese)"		Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
																																					
